Group,Family,Common Name,Scientific Name,Occurrence ,Habitat
Whale Sharks,Rhincodontidae,Whale shark,Rhincodon typus,rare,Reef edge/drop offs
Sharks,Charcharhinidae,Reef blacktip shark,Charcharhinus melanopterus,uncommon,Reef edge/drop offs
Sharks,Charcharhinidae,Reef whitetip shark,Triaenodon obesus,uncommon,Reef edge/drop offs
Manta Rays,Mobulidae,Manta ray,Manta birostris,rare,Reef edge/drop offs
Eagle Rays,Myliobatidae,Spotted eagle ray,Aetobatus narinari,uncommon,Reef edge/drop offs
Stingrays,Dasyatidae,Bluespotted stingray,Dasyatis kuhlii,occasional,"on bottom, usually with sand and rubble"
Stingrays,Dasyatidae,Honeycomb stingray,Himantura uarnak,occasional,"on bottom, usually with sand and rubble"
Stingrays,Dasyatidae,Bluespotted ribbontail ray,Taeniura lymma,occasional,"on bottom, usually with sand and rubble near live coral habitat"
Electric Rays,Torpedinidae,Marbled electric ray,Torpedo sinuspersici,uncommon,"on bottom, usually with sand and rubble near live coral habitat"
Moray Eels,Muraenidae,Snowflake moray,Echidna nebulosa,occasional,"Reef associated, in corals"
Moray Eels,Muraenidae,Latticetail moray,Gymnothorax buroensis,uncommon,"Reef associated, in corals"
Moray Eels,Muraenidae,Yellow-edged moray,Gymnothorax flavimarginatus,occasional,"Reef associated, in corals"
Moray Eels,Muraenidae,Geometric moray,Gymnothorax griseus,uncommon,"Reef associated, in corals"
Moray Eels,Muraenidae,Giant moray,Gymnothorax javanicus,occasional,"Reef associated, in corals"
Moray Eels,Muraenidae,Peppered moray,Gymnothorax pictus,uncommon,"Reef associated, in corals"
Moray Eels,Muraenidae,Undulated moray,Gymnothorax undulatus,uncommon,"Reef associated, in corals"
Moray Eels,Muraenidae,Ribbon eel,Rhinomuraena quaesita,occasional,"on bottom, usually with sand and rubble"
Moray Eels,Muraenidae,White-eyed moray,Siderea thyrsoidea,uncommon,"Reef associated, in corals"
Snake Eels,Ophichthidae,Saddled snake eel,Leiuranus semicinctus,uncommon,on bottom/burrowed with sand and rubble
Snake Eels,Ophichthidae,Banded snake eel,Myrichthys colubrinus,uncommon,on bottom/burrowed with sand and rubble
Catfishes,Plotosidae,Striped eel catfish,Plotosus lineatus,occasional,"Reef associated, base of corals"
Lizardfishes,Synodontidae,Sand lizardfish,Saurida dermatogenys,occasional,Reef associated/sand & rubble
Lizardfishes,Synodontidae,Gracile lizardfish,Saurida gracilis,common,Reef associated/sand & rubble
Lizardfishes,Synodontidae,Blackblotch lizardfish,Saurida jaculum,occasional,Reef associated/sand & rubble
Lizardfishes,Synodontidae,Variegated lizardfish,Synodus variegatus,common,Reef associated/sand & rubble
Milkfish,Chanidae,Milkfish,Chanos chanos,uncommon, along reef edges and sand flats
Silversides,Atherinidae,Hardyhead silverside,Atherinomorus lacunosus,occasional,shallow water near reef edges
Anchovies,Engraulidae,Indian anchovy,Stolephorus indicus,occasional,shallow water near reef edges
Needlefishes,Belonidae,Keeltail needlefish,Platybelone argalus,occasional,near water's surface above reefs and open water
Needlefishes,Belonidae,Hound needlefish,Tylosurus crocodilus,occasional,near water's surface above reefs and open water
Halfbeaks,Hemiramphidae,Insular halfbeak,Hyporhamphus affinis,occasional,near water's surface above reefs and open water
Frogfishes,Antennariidae,Sargassumfish,Histrio histrio,uncommon,Associated with floating sargassum
Squirrelfishes,Holocentridae,Bronze soldierfish,Myripristis adusta,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Bigscale soldierfish,Myripristis berndti,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Doubletooth soldierfish,Myripristis hexagona,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Pearly soldierfish,Myripristis kuntee,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Red soldierfish,Myripristis murdjan,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Scarlet soldierfish,Myripristis pralinia,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Bloodspot squirrelfish,Neonophon samara,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Silverspot squirrelfish,Sargocentron caudimaculatum,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Crown squirrelfish,Sargocentron diadema,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Dark-striped squirrelfish,Sargocentron praslin,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Long-jawed squirrelfish,Sargocentron spiniferum,occasional,"Reef associated, near holes and crevices, nocturnal"
Squirrelfishes,Holocentridae,Pink squirrelfish,Sargocentron tieroides,occasional,"Reef associated, near holes and crevices, nocturnal"
Trumpetfishes,Aulostomidae,Trumpetfish,Aulostomus chinensis,common,"Reef associated, near corals"
Cornetfishes,Fistulariidae,Cornetfish,Fistularia commersonii,occasional,"Reef associated, near corals"
Pipefishes,Syngnathidae,Network pipefish,Corythoicthys flavofasciatus,common,"Reef associated, near corals"
Pipefishes,Syngnathidae,Double-ended pipefish,Trachyrhamphus bicoarctatus,occasional,on reef edges and sand/rubble areas
Flatheads,Platycephalidae,Indian Ocean crocodilefish,Papilloculiceps longiceps,uncommon,on sand amidst coral reef
Flatheads,Platycephalidae,Longsnout flathead,Thysanophrys chiltonae ,uncommon,on sand amidst coral reef
Waspfishes,Tetrarogidae,Redskinfish,Ablabys binotatus,uncommon,"Reef associated, in corals"
Coral Crouchers,Caracanthidae,Indian Ocean spotted coral croucher,Caracanthus madagascariensis,occasional,occurs within coral branches - venomous spines
Stonefishes,Synanceiidae,Stonefish,Synanceia verrucosa,occasional,Sand/rubble near coral
Scorpionfishes,Scorpaenidae,Spotfin turkeyfish,Pterois antennata,common,"Reef associated, near corals"
Scorpionfishes,Scorpaenidae,Lionfish,Pterois miles,common,"Reef associated, near corals"
Scorpionfishes,Scorpaenidae,Clearfin firefish,Pterois radiata,occasional,"Reef associated, near corals"
Scorpionfishes,Scorpaenidae,Weedy scorpionfish,Rhinopias frondosa,uncommon,"Reef associated, near corals"
Scorpionfishes,Scorpaenidae,Minor scorpionfish,Scorpaenodes minor,uncommon,"Reef associated, near corals"
Scorpionfishes,Scorpaenidae,False stonefish,Scorpaenopsis diabolus,occasional,"Reef associated, near corals"
Scorpionfishes,Scorpaenidae,Yellowspotted scorpionfish,Sebastapistes cyanostigma,common,"Reef associated, near corals"
Scorpionfishes,Scorpaenidae,Leaf scorpionfish,Taenianotus triacanthus,occasional,"Reef associated, near corals"
Basses,Serranidae,Redmouth grouper,Aethaloperca rogaa,occasional,"Reef associated, near corals"
Basses,Serranidae,Slender grouper,Anyperodon leucogrammicus,occasional,"Reef associated, near corals"
Basses,Serranidae,Arrowhead soapfish,Belanoperca chabanaudi,occasional,"Reef associated, near corals"
Basses,Serranidae,Peacock hind,Cephalopholis argus,common,"Reef associated, near corals"
Basses,Serranidae,Chocolate hind,Cephalopholis boenak,occasional,"Reef associated, near corals"
Basses,Serranidae,Coral hind,Cephalopholis miniata,occasional,"Reef associated, near corals"
Basses,Serranidae,Darkfin hind,Cephalopholis nigripinnis,occasional,"Reef associated, near corals"
Basses,Serranidae,Two-banded soapfish,Diploprion bifasciatum,occasional,"Reef associated, near corals"
Basses,Serranidae,Blacktip grouper,Epinephelus fasciatus,occasional,"Reef associated, near corals"
Basses,Serranidae,Blue and yellow grouper,Epinephelus flavocaeruleus,occasional,"Reef associated, near corals"
Basses,Serranidae,Longspine grouper,Epinephelus longispinis,occasional,"Reef associated, near corals"
Basses,Serranidae,Blackspot grouper,Epinephelus melanostigma,uncommon,"Reef associated, near corals"
Basses,Serranidae,Honeycomb grouper,Epinephelus merra,occasional,"Reef associated, near corals"
Basses,Serranidae,Marbled grouper,Epinephelus fuscoguttatus,common,"Reef associated, near corals"
Basses,Serranidae,Sixline soapfish,Grammistes sexlineatus,occasional,"Reef associated, near corals"
Basses,Serranidae,Blacksaddled coralgrouper,Plectropomus laevis,occasional,"Reef associated, near corals"
Basses,Serranidae,Marbled coralgrouper,Plectropomus punctatus,occasional,"Reef associated, near corals"
Basses,Serranidae,Bluegill longfin,Plesiops corallicola,uncommon,"Reef associated, near corals"
Basses,Serranidae,Red-bar anthias,Pseudanthias cooperi,occasional,"Reef associated, near corals"
